"","UserName","Condition","CONFIDENCE.Pre","CONFIDENCE.Post","CONFIDENCE.Change","C.Level.Pre","NewC.Change","C.Change","Timestamp","ActivityNumber","GroupName","GameHalf","GameDay","text","Data","Technical.Constraints","Performance.Parameters","Client.and.Consultant.Requests","Design.Reasoning","Collaboration"
"1","steven z","FirstGame","7","8","1","High.Pre","Pos.Change","Pos.Change","9/17/2013 9:43",1,"Electric","First",1,"Steven",0,0,0,0,0,0
"2","akash v","FirstGame","6","8","2","High.Pre","Pos.Change","Pos.Change","9/17/2013 9:44",1,"Electric","First",1,"Hey, I am Akash",0,0,0,0,0,0
"3","alexander b","FirstGame","5","7","1","Low.Pre","Pos.Change","Pos.Change","9/17/2013 9:46",1,"Electric","First",1,"I'm Alex",0,0,0,0,0,0
"4","brandon l","FirstGame","5","6","1","Low.Pre","Pos.Change","Pos.Change","9/17/2013 9:58",1,"Electric","First",1,"OK.",0,0,0,0,0,0
"5","brandon l","FirstGame","5","6","1","Low.Pre","Pos.Change","Pos.Change","9/17/2013 9:58",1,"Electric","First",1,"OK.",0,0,0,0,0,0
"6","christian x","FirstGame","4","4","0","Low.Pre","No.Change","Neg.Change","9/19/2013 9:40",1,"Electric","First",3,"@Justin Kim: Should we have received an email about the bio pages?",0,0,0,0,0,0
"7","christian x","FirstGame","4","4","0","Low.Pre","No.Change","Neg.Change","9/19/2013 9:41",1,"Electric","First",3,"@Justin Kim: Yes",0,0,0,0,0,0
"8","brandon l","FirstGame","5","6","1","Low.Pre","Pos.Change","Pos.Change","9/19/2013 9:45",1,"Electric","First",3,"@Christian: The submit button is on the top bar of the window. Maybe you're trying to save it or share it instead? That is what I did wrong at first.",0,0,0,0,0,0
"9","brandon l","FirstGame","5","6","1","Low.Pre","Pos.Change","Pos.Change","9/19/2013 9:45",1,"Electric","First",3,"@Christian: The submit button is on the top bar of the window. Maybe you're trying to save it or share it instead? That is what I did wrong at first.",0,0,0,0,0,0
"10","steven z","FirstGame","7","8","1","High.Pre","Pos.Change","Pos.Change","9/19/2013 9:45",1,"Electric","First",3,"My worklog is blank, is that okay?",0,0,0,0,0,0
